
Data_X,Data_Y,Label_X,Label_Y
-6.759435415267944,-8.104598879814148,[-6.75943542],[-8.10459888]
-3.60178279876709,-1.9293791055679321,[-3.6017828],[-1.92937911]
-3.601136803627014,-1.928882122039795,[-3.6011368],[-1.92888212]
-3.600364089012146,-1.9285961389541626,[-3.60036409],[-1.92859614]
-3.59649658203125,-1.9248666763305664,[-3.59649658],[-1.92486668]
-3.5913339853286743,-1.9232414364814758,[-3.59133399],[-1.92324144]
-3.5858335494995117,-1.917402446269989,[-3.58583355],[-1.91740245]
-3.5782476663589478,-1.915149211883545,[-3.57824767],[-1.91514921]
-3.5728507041931152,-1.9094003438949585,[-3.5728507],[-1.90940034]
-3.5651108026504517,-1.9070683121681213,[-3.5651108],[-1.90706831]
-3.559653878211975,-1.9013907313346863,[-3.55965388],[-1.90139073]
-3.551989436149597,-1.899027168750763,[-3.55198944],[-1.89902717]
-3.546556830406189,-1.8935025334358215,[-3.54655683],[-1.89350253]
-3.5389246940612793,-1.8910905122756958,[-3.53892469],[-1.89109051]
-3.5332887172698975,-1.885493516921997,[-3.53328872],[-1.88549352]
-3.5256874561309814,-1.8830379843711853,[-3.52568746],[-1.88303798]
-3.520024299621582,-1.877554476261139,[-3.5200243],[-1.87755448]
-3.5124549865722656,-1.8751170635223389,[-3.51245499],[-1.87511706]
-3.506736993789673,-1.8697224855422974,[-3.50673699],[-1.86972249]
-3.4990758895874023,-1.8671196103096008,[-3.49907589],[-1.86711961]
-3.4932769536972046,-1.861886441707611,[-3.49327695],[-1.86188644]
-3.4857444763183594,-1.8592618703842163,[-3.48574448],[-1.85926187]
-3.4798717498779297,-1.8539842367172241,[-3.47987175],[-1.85398424]
-3.4723793268203735,-1.8513156175613403,[-3.47237933],[-1.85131562]
-3.466479778289795,-1.846129059791565,[-3.46647978],[-1.84612906]
-3.4590208530426025,-1.8433970212936401,[-3.45902085],[-1.84339702]
-3.453051209449768,-1.838280439376831,[-3.45305121],[-1.83828044]
-3.4456299543380737,-1.8355127573013306,[-3.44562995],[-1.83551276]
-3.4397149085998535,-1.8305622339248657,[-3.43971491],[-1.83056223]
-3.4323253631591797,-1.827736258506775,[-3.43232536],[-1.82773626]
-3.4262313842773438,-1.8227310180664062,[-3.42623138],[-1.82273102]
-3.4188899993896484,-1.8198777437210083,[-3.41889],[-1.81987774]
-3.412807583808899,-1.8149949312210083,[-3.41280758],[-1.81499493]
-3.4054477214813232,-1.8121313452720642,[-3.40544772],[-1.81213135]
-3.3993260860443115,-1.8073061108589172,[-3.39932609],[-1.80730611]
-3.3920403718948364,-1.8043622374534607,[-3.39204037],[-1.80436224]
-3.3858838081359863,-1.7996131777763367,[-3.38588381],[-1.79961318]
-3.3786498308181763,-1.796645164489746,[-3.37864983],[-1.79664516]
-3.37248957157135,-1.791969656944275,[-3.37248957],[-1.79196966]
-3.3653112649917603,-1.7889727354049683,[-3.36531126],[-1.78897274]
-3.3591203689575195,-1.7843492031097412,[-3.35912037],[-1.7843492]
-3.3520421981811523,-1.7813516855239868,[-3.3520422],[-1.78135169]
-3.345844864845276,-1.7767884731292725,[-3.34584486],[-1.77678847]
-3.3386884927749634,-1.7737184762954712,[-3.33868849],[-1.77371848]
-3.3324791193008423,-1.7692173719406128,[-3.33247912],[-1.76921737]
-3.3254135847091675,-1.76614511013031,[-3.32541358],[-1.76614511]
-3.3192083835601807,-1.7617213726043701,[-3.31920838],[-1.76172137]
-3.3121893405914307,-1.7586281299591064,[-3.31218934],[-1.75862813]
-3.305953025817871,-1.75423002243042,[-3.30595303],[-1.75423002]
-3.298975706100464,-1.751120150089264,[-3.29897571],[-1.75112015]
-3.2927405834198,-1.7467909455299377,[-3.29274058],[-1.74679095]
-3.2857848405838013,-1.7437630891799927,[-3.28578484],[-1.74376309]
-3.2795591354370117,-1.739481806755066,[-3.27955914],[-1.73948181]
-3.2726054191589355,-1.7363192439079285,[-3.27260542],[-1.73631924]
-3.2663856744766235,-1.7320882678031921,[-3.26638567],[-1.73208827]
-3.259519338607788,-1.728938102722168,[-3.25951934],[-1.7289381]
-3.2532655000686646,-1.7247477769851685,[-3.2532655],[-1.72474778]
-3.2464438676834106,-1.7215913534164429,[-3.24644387],[-1.72159135]
-3.2402111291885376,-1.7174572944641113,[-3.24021113],[-1.71745729]
-3.2334187030792236,-1.714296817779541,[-3.2334187],[-1.71429682]
-3.2271931171417236,-1.710204839706421,[-3.22719312],[-1.71020484]
-3.2205142974853516,-1.7070494294166565,[-3.2205143],[-1.70704943]
-3.214261293411255,-1.703039526939392,[-3.21426129],[-1.70303953]
-3.2075215578079224,-1.6998541951179504,[-3.20752156],[-1.6998542]
-3.2012864351272583,-1.6958317756652832,[-3.20128644],[-1.69583178]
-3.194597363471985,-1.6926440000534058,[-3.19459736],[-1.692644]
-3.1883792877197266,-1.6886723637580872,[-3.18837929],[-1.68867236]
-3.181720495223999,-1.6854841709136963,[-3.1817205],[-1.68548417]
-3.1755168437957764,-1.6815536618232727,[-3.17551684],[-1.68155366]
-3.1688932180404663,-1.6783639788627625,[-3.16889322],[-1.67836398]
-3.1627408266067505,-1.6745664477348328,[-3.16274083],[-1.67456645]
-3.156177520751953,-1.6713390350341797,[-3.15617752],[-1.67133904]
-3.1499475240707397,-1.6674465537071228,[-3.14994752],[-1.66744655]
-3.1433680057525635,-1.6642429828643799,[-3.14336801],[-1.66424298]
-3.1371970176696777,-1.6604053974151611,[-3.13719702],[-1.6604054]
-3.130660891532898,-1.6572209596633911,[-3.13066089],[-1.65722096]
-3.124508857727051,-1.6534196734428406,[-3.12450886],[-1.65341967]
-3.1180176734924316,-1.6502364873886108,[-3.11801767],[-1.65023649]
-3.11187744140625,-1.6464792490005493,[-3.11187744],[-1.64647925]
-3.1054149866104126,-1.643296718597412,[-3.10541499],[-1.64329672]
-3.099326729774475,-1.6395222544670105,[-3.09932673],[-1.63952225]
-3.0929614305496216,-1.6363775134086609,[-3.09296143],[-1.63637751]
-3.086836814880371,-1.6326689720153809,[-3.08683681],[-1.63266897]
-3.080337643623352,-1.6294703483581543,[-3.08033764],[-1.62947035]
-3.0742422342300415,-1.6257963180541992,[-3.07424223],[-1.62579632]
-3.0678529739379883,-1.6226231455802917,[-3.06785297],[-1.62262315]
-3.0617634057998657,-1.6189720034599304,[-3.06176341],[-1.618972]
-3.055413842201233,-1.6157997846603394,[-3.05541384],[-1.61579978]
-3.049229860305786,-1.612183928489685,[-3.04922986],[-1.61218393]
-3.0429060459136963,-1.6090184450149536,[-3.04290605],[-1.60901845]
-3.036829113960266,-1.6054242849349976,[-3.03682911],[-1.60542428]
-3.030593991279602,-1.602280616760254,[-3.03059399],[-1.60228062]
-3.0245485305786133,-1.5987296104431152,[-3.02454853],[-1.59872961]
-3.018266201019287,-1.5955600142478943,[-3.0182662],[-1.59556001]
-3.012243866920471,-1.5920259356498718,[-3.01224387],[-1.59202594]
-3.0060049295425415,-1.5888822078704834,[-3.00600493],[-1.58888221]
-3.0000572204589844,-1.5854352116584778,[-3.00005722],[-1.58543521]
-2.993843913078308,-1.5822967290878296,[-2.99384391],[-1.58229673]
-2.987789511680603,-1.5787847638130188,[-2.98778951],[-1.57878476]
-2.981615900993347,-1.5756471753120422,[-2.9816159],[-1.57564718]
-2.9756323099136353,-1.5721943974494934,[-2.97563231],[-1.5721944]
-2.9694803953170776,-1.569068431854248,[-2.9694804],[-1.56906843]
-2.963518738746643,-1.565638780593872,[-2.96351874],[-1.56563878]
-2.9573917388916016,-1.5625264644622803,[-2.95739174],[-1.56252646]
-2.951452851295471,-1.5591187477111816,[-2.95145285],[-1.55911875]
-2.945357918739319,-1.5560076236724854,[-2.94535792],[-1.55600762]
-2.9395201206207275,-1.5526140332221985,[-2.93952012],[-1.55261403]
-2.9335219860076904,-1.5495603680610657,[-2.93352199],[-1.54956037]
-2.927594542503357,-1.5461759567260742,[-2.92759454],[-1.54617596]
-2.9215070009231567,-1.5430628657341003,[-2.921507],[-1.54306287]
-2.9156136512756348,-1.539721429347992,[-2.91561365],[-1.53972143]
-2.90960955619812,-1.536633014678955,[-2.90960956],[-1.53663301]
-2.903759002685547,-1.5333157181739807,[-2.903759],[-1.53331572]
-2.8977811336517334,-1.530232846736908,[-2.89778113],[-1.53023285]
-2.8920230865478516,-1.5269665122032166,[-2.89202309],[-1.52696651]
-2.8860602378845215,-1.5238952040672302,[-2.88606024],[-1.5238952]
-2.8801803588867188,-1.5205647945404053,[-2.88018036],[-1.52056479]
-2.87422251701355,-1.5175969004631042,[-2.87422252],[-1.5175969]
-2.8684277534484863,-1.5143209099769592,[-2.86842775],[-1.51432091]
-2.8624743223190308,-1.5112407207489014,[-2.86247432],[-1.51124072]
-2.856709837913513,-1.5079889297485352,[-2.85670984],[-1.50798893]
-2.850829243659973,-1.5049386024475098,[-2.85082924],[-1.5049386]
-2.8450785875320435,-1.5017187595367432,[-2.84507859],[-1.50171876]
-2.839230537414551,-1.498679757118225,[-2.83923054],[-1.49867976]
-2.833504557609558,-1.495469331741333,[-2.83350456],[-1.49546933]
-2.827675700187683,-1.4924420714378357,[-2.8276757],[-1.49244207]
-2.821988344192505,-1.4892409443855286,[-2.82198834],[-1.48924094]
-2.816192865371704,-1.4862218499183655,[-2.81619287],[-1.48622185]
-2.810431480407715,-1.483002483844757,[-2.81043148],[-1.48300248]
-2.804737091064453,-1.480006217956543,[-2.80473709],[-1.48000622]
-2.7990610599517822,-1.476847529411316,[-2.79906106],[-1.47684753]
-2.7933086156845093,-1.473818838596344,[-2.79330862],[-1.47381884]
-2.787663698196411,-1.470683515071869,[-2.7876637],[-1.47068352]
-2.781927227973938,-1.4676916003227234,[-2.78192723],[-1.4676916]
-2.776308536529541,-1.4645646214485168,[-2.77630854],[-1.46456462]
-2.77060329914093,-1.4615846276283264,[-2.7706033],[-1.46158463]
-2.7650128602981567,-1.4584414958953857,[-2.76501286],[-1.4584415]
-2.7593350410461426,-1.4554765820503235,[-2.75933504],[-1.45547658]
-2.7537364959716797,-1.452372968196869,[-2.7537365],[-1.45237297]
-2.7480854988098145,-1.4494149684906006,[-2.7480855],[-1.44941497]
-2.742518663406372,-1.446339726448059,[-2.74251866],[-1.44633973]
-2.736890196800232,-1.4433974027633667,[-2.7368902],[-1.4433974]
-2.7313438653945923,-1.440347969532013,[-2.73134387],[-1.44034797]
-2.725751042366028,-1.4374168515205383,[-2.72575104],[-1.43741685]
-2.720260739326477,-1.4344072341918945,[-2.72026074],[-1.43440723]
-2.7146520614624023,-1.431475043296814,[-2.71465206],[-1.43147504]
-2.70912504196167,-1.428435206413269,[-2.70912504],[-1.42843521]
-2.703559160232544,-1.4255262613296509,[-2.70355916],[-1.42552626]
-2.698075294494629,-1.422515869140625,[-2.69807529],[-1.42251587]
-2.692534923553467,-1.4196178913116455,[-2.69253492],[-1.41961789]
-2.6870819330215454,-1.41661137342453,[-2.68708193],[-1.41661137]
-2.6815685033798218,-1.413722038269043,[-2.6815685],[-1.41372204]
-2.676145553588867,-1.4107399582862854,[-2.67614555],[-1.41073996]
-2.670719027519226,-1.4079058766365051,[-2.67071903],[-1.40790588]
-2.665274143218994,-1.4049245119094849,[-2.66527414],[-1.40492451]
-2.6597357988357544,-1.4020203948020935,[-2.6597358],[-1.40202039]
-2.6543424129486084,-1.399065613746643,[-2.65434241],[-1.39906561]
-2.6488821506500244,-1.3962044715881348,[-2.64888215],[-1.39620447]
-2.643500804901123,-1.3932711482048035,[-2.6435008],[-1.39327115]
-2.638074278831482,-1.3904284834861755,[-2.63807428],[-1.39042848]
-2.6327948570251465,-1.3875265717506409,[-2.63279486],[-1.38752657]
-2.6273980140686035,-1.3846969604492188,[-2.62739801],[-1.38469696]
-2.62203586101532,-1.3817888498306274,[-2.62203586],[-1.38178885]
-2.6166540384292603,-1.3789639472961426,[-2.61665404],[-1.37896395]
-2.611329436302185,-1.3760642409324646,[-2.61132944],[-1.37606424]
-2.605967879295349,-1.3732594847679138,[-2.60596788],[-1.37325948]
-2.600677490234375,-1.3703827261924744,[-2.60067749],[-1.37038273]
-2.595367670059204,-1.367635190486908,[-2.59536767],[-1.36763519]
-2.590097665786743,-1.3647748231887817,[-2.59009767],[-1.36477482]
-2.5847232341766357,-1.3619638085365295,[-2.58472323],[-1.36196381]
-2.5794862508773804,-1.3591267466545105,[-2.57948625],[-1.35912675]
-2.5741904973983765,-1.3563527464866638,[-2.5741905],[-1.35635275]
-2.568948745727539,-1.3535063862800598,[-2.56894875],[-1.35350639]
-2.5636757612228394,-1.3507550358772278,[-2.56367576],[-1.35075504]
-2.558455228805542,-1.347927212715149,[-2.55845523],[-1.34792721]
-2.5532007217407227,-1.3451763987541199,[-2.55320072],[-1.3451764]
-2.5480093955993652,-1.3423606753349304,[-2.5480094],[-1.34236068]
-2.542771816253662,-1.3396207690238953,[-2.54277182],[-1.33962077]
-2.5376198291778564,-1.3368493914604187,[-2.53761983],[-1.33684939]
-2.532409906387329,-1.3341175317764282,[-2.53240991],[-1.33411753]
-2.5272361040115356,-1.331319510936737,[-2.5272361],[-1.33131951]
-2.5221222639083862,-1.3286435008049011,[-2.52212226],[-1.3286435]
-2.5169883966445923,-1.3258724808692932,[-2.5169884],[-1.32587248]
-2.5117692947387695,-1.3231345415115356,[-2.51176929],[-1.32313454]
-2.50665819644928,-1.320372462272644,[-2.5066582],[-1.32037246]
-2.5015045404434204,-1.3176743984222412,[-2.50150454],[-1.3176744]
-2.496458888053894,-1.314925193786621,[-2.49645889],[-1.31492519]
-2.491335868835449,-1.312239408493042,[-2.49133587],[-1.31223941]
-2.486220121383667,-1.3094831705093384,[-2.48622012],[-1.30948317]
-2.4811148643493652,-1.3068034648895264,[-2.48111486],[-1.30680346]
-2.4760665893554688,-1.3040704727172852,[-2.47606659],[-1.30407047]
-2.4709829092025757,-1.301404058933258,[-2.47098291],[-1.30140406]
-2.4659560918807983,-1.2986937761306763,[-2.46595609],[-1.29869378]
-2.4609975814819336,-1.2960338592529297,[-2.46099758],[-1.29603386]
-2.455991744995117,-1.2933435440063477,[-2.45599174],[-1.29334354]
-2.450927257537842,-1.2906878590583801,[-2.45092726],[-1.29068786]
-2.4459152221679688,-1.2880750894546509,[-2.44591522],[-1.28807509]
-2.44089412689209,-1.2854456305503845,[-2.44089413],[-1.28544563]
-2.435919404029846,-1.2827624082565308,[-2.4359194],[-1.28276241]
-2.4309312105178833,-1.2801427841186523,[-2.43093121],[-1.28014278]
-2.425981044769287,-1.2774816751480103,[-2.42598104],[-1.27748168]
-2.4210050106048584,-1.2748637795448303,[-2.42100501],[-1.27486378]
-2.416081666946411,-1.2722176313400269,[-2.41608167],[-1.27221763]
-2.41113018989563,-1.269614577293396,[-2.41113019],[-1.26961458]
-2.406224012374878,-1.2670658826828003,[-2.40622401],[-1.26706588]
-2.4012904167175293,-1.2644851803779602,[-2.40129042],[-1.26448518]
-2.396395683288574,-1.261848270893097,[-2.39639568],[-1.26184827]
-2.3914785385131836,-1.2592657208442688,[-2.39147854],[-1.25926572]
-2.386610507965088,-1.2566409707069397,[-2.38661051],[-1.25664097]
-2.381717562675476,-1.2540640234947205,[-2.38171756],[-1.25406402]
-2.376868486404419,-1.2514577507972717,[-2.37686849],[-1.25145775]
-2.371993064880371,-1.2488959431648254,[-2.37199306],[-1.24889594]
-2.3671844005584717,-1.246302306652069,[-2.3671844],[-1.24630231]
-2.3623381853103638,-1.2437540888786316,[-2.36233819],[-1.24375409]
-2.357510209083557,-1.241167962551117,[-2.35751021],[-1.24116796]
-2.352752685546875,-1.2386879920959473,[-2.35275269],[-1.23868799]
-2.347961187362671,-1.2361202239990234,[-2.34796119],[-1.23612022]
-2.3430893421173096,-1.2335575819015503,[-2.34308934],[-1.23355758]
-2.338312268257141,-1.2309937477111816,[-2.33831227],[-1.23099375]
